name,roll_no,year,department,section,parent_email,parent_mobile
Noah Miller,23CSE1009,3,ECE,E,noah.miller.parent@example.com,9876543250
Lily Adams,23CSE1010,3,ECE,E,lily.adams.parent@example.com,9876543251
Luke Foster,23CSE1011,3,IT,F,luke.foster.parent@example.com,9876543252
Chloe Morgan,23CSE1012,3,IT,F,chloe.morgan.parent@example.com,9876543253
Mason James,23CSE1013,3,IT,G,mason.james.parent@example.com,9876543254
Landon Garcia,23CSE1014,3,IT,G,landon.garcia.parent@example.com,9876543255
Harper Scott,23CSE1015,3,CSE-DS,H,harper.scott.parent@example.com,9876543256
Samantha Nelson,23CSE1016,3,CSE-DS,H,samantha.nelson.parent@example.com,9876543257
Elijah Bell,23CSE1017,3,CSE-AIML,I,elijah.bell.parent@example.com,9876543258
Mila Young,23CSE1018,3,CSE-AIML,I,mila.young.parent@example.com,9876543259
Grayson Harris,23CSE1019,3,CSE-AIDS,J,grayson.harris.parent@example.com,9876543260
Zoe Lee,23CSE1020,3,CSE-AIDS,J,zoe.lee.parent@example.com,9876543261
Jack Turner,24CSE1046,4,CSE,G,jack.turner.parent@example.com,9876543265
Ella Rivera,24CSE1047,4,CSE,G,ella.rivera.parent@example.com,9876543266
Henry Long,24CSE1048,4,CSE,G,henry.long.parent@example.com,9876543267
Victoria King,24CSE1049,4,CSE,H,victoria.king.parent@example.com,9876543268
Daniel Murphy,24CSE1050,4,CSE,H,daniel.murphy.parent@example.com,9876543269
Isla Bennett,24CSE1051,4,CSE,H,isla.bennett.parent@example.com,9876543270
Jack Turner,24CSE1001,4,CSE,A,jack.turner.parent@example.com,9876543262
Ella Rivera,24CSE1002,4,CSE,A,ella.rivera.parent@example.com,9876543263
Henry Long,24CSE1003,4,CSE,B,henry.long.parent@example.com,9876543264
Daniel Murphy,24CSE1004,4,CSE,B,daniel.murphy.parent@example.com,9876543265
Victoria King,24CSE1005,4,CSE,C,victoria.king.parent@example.com,9876543266
Isla Bennett,24CSE1006,4,CSE,C,isla.bennett.parent@example.com,9876543267
Ethan Hill,24CSE1007,4,ECE,D,ethan.hill.parent@example.com,9876543268
Sophia Cox,24CSE1008,4,ECE,D,sophia.cox.parent@example.com,9876543269
Noah Miller,24CSE1009,4,ECE,E,noah.miller.parent@example.com,9876543270
Lily Adams,24CSE1010,4,ECE,E,lily.adams.parent@example.com,9876543271
Luke Foster,24CSE1011,4,IT,F,luke.foster.parent@example.com,9876543272
Chloe Morgan,24CSE1012,4,IT,F,chloe.morgan.parent@example.com,9876543273
Mason James,24CSE1013,4,IT,G,mason.james.parent@example.com,9876543274
Landon Garcia,24CSE1014,4,IT,G,landon.garcia.parent@example.com,9876543275
Harper Scott,24CSE1015,4,CSE-DS,H,harper.scott.parent@example.com,9876543276
Samantha Nelson,24CSE1016,4,CSE-DS,H,samantha.nelson.parent@example.com,9876543277
Elijah Bell,24CSE1017,4,CSE-AIML,I,elijah.bell.parent@example.com,9876543278
S Surya Chandra,21Q91A05P4,4,CSE-AIML,I,mila.young.parent@example.com,9876543279
P Sathwik Laxman,21Q91A05P3,4,CSE-AIDS,J,grayson.harris.parent@example.com,9876543280
U H Karthik,21Q91A05Q1,4,CSE-AIDS,J,zoe.lee.parent@example.com,9876543281

T Pavani, 21Q91A05P8,4,CSE,D,tpavani@gmail.com,9876543282
